TIME,O3PPM,TMP,RH%
11:50:1,248.05415,32.7,20.8
11:50:1,248.814,32.7,20.8
11:50:1,249.55598,32.7,20.8
11:50:1,250.26569,32.7,20.8
11:50:1,251.02286,32.7,20.8
11:50:2,251.68607,32.7,20.8
11:50:2,252.38239,32.8,20.8
11:50:2,253.12204,32.8,20.8
11:50:2,253.80522,32.7,20.8
11:50:2,254.49194,32.7,20.8
11:50:2,255.1541,32.7,20.8
11:50:2,255.78491,32.7,20.8
11:50:3,256.47946,32.7,20.8
11:50:3,257.2459,32.7,20.8
11:50:3,257.98352,32.7,20.8
11:50:3,258.69644,32.7,20.8
11:50:3,259.3721,32.7,20.8
11:50:3,260.0815,32.7,20.8
11:50:4,260.7722,32.7,20.8
11:50:4,261.4744,32.7,20.8
11:50:4,262.13098,32.7,20.8
11:50:4,262.8236,32.7,20.8
11:50:4,263.48663,32.7,20.8
11:50:4,264.0913,32.7,20.8
11:50:4,264.70956,32.7,20.8
11:50:5,265.33472,32.7,20.8
11:50:5,265.90555,32.7,20.8
11:50:5,266.5309,32.7,20.8
11:50:5,267.16946,32.8,20.8
11:50:5,267.80722,32.8,20.8
11:50:5,268.49606,32.7,20.8
11:50:6,269.09442,32.7,20.8
11:50:6,269.66684,32.7,20.8
11:50:6,270.27136,32.7,20.8
11:50:6,270.89758,32.7,20.8
11:50:6,271.45587,32.7,20.8
11:50:6,271.99408,32.8,20.8
11:50:6,272.5268,32.8,20.8
11:50:7,273.06662,32.8,20.8
11:50:7,273.56293,32.8,20.8
11:50:7,274.03052,32.8,20.8
11:50:7,274.46463,32.8,20.8
11:50:7,274.9671,32.8,20.8
11:50:7,275.49792,32.8,20.8
11:50:8,275.89774,32.7,20.7
11:50:8,276.43365,32.7,20.7
11:50:8,276.96866,32.8,20.7
11:50:8,277.58707,32.8,20.7
11:50:8,278.14444,32.8,20.7
11:50:8,278.6815,32.8,20.7
11:50:8,279.20477,32.8,20.7
11:50:9,279.71973,32.8,20.7
11:50:9,280.3318,32.8,20.7
11:50:9,280.92114,32.8,20.7
11:50:9,281.45572,32.7,20.7
11:50:9,282.0104,32.7,20.7
11:50:9,282.51187,32.8,20.7
11:50:10,282.96033,32.8,20.7
11:50:10,283.41757,32.8,20.7
11:50:10,283.92084,32.8,20.7
11:50:10,284.40314,32.8,20.7
11:50:10,284.87115,32.8,20.7
11:50:10,285.3265,32.7,20.7
11:50:10,285.8886,32.7,20.7
11:50:11,286.33203,32.8,20.7
11:50:11,286.7541,32.8,20.7
11:50:11,287.19202,32.8,20.8
11:50:11,287.6807,32.8,20.8
11:50:11,288.16556,32.8,20.7
11:50:11,288.594,32.8,20.7
11:50:12,289.05145,32.7,20.7
11:50:12,289.65634,32.7,20.7
11:50:12,290.2798,32.8,20.7
11:50:14,290.7784,32.8,20.7
11:50:14,291.2473,32.8,20.7
11:50:14,296.82584,32.8,20.8
11:50:14,297.18317,32.8,20.8
11:50:15,297.49136,32.8,20.8
11:50:15,297.78442,32.7,20.8
11:50:15,298.06445,32.7,20.8
11:50:15,298.4362,32.8,20.8
11:50:15,298.86905,32.8,20.8
11:50:15,299.15833,32.8,20.8
11:50:15,299.4079,32.8,20.8
11:50:16,299.7495,32.7,20.8
11:50:16,300.16776,32.7,20.8
11:50:16,300.61136,32.7,20.7
11:50:16,300.95624,32.7,20.7
11:50:16,301.33517,32.8,20.7
11:50:16,301.72614,32.8,20.7
11:50:17,302.04016,32.8,20.7
11:50:17,302.42255,32.8,20.7
11:50:17,302.67813,32.8,20.7
11:50:17,302.99533,32.8,20.7
11:50:17,303.28088,32.8,20.7
11:50:17,303.60522,32.8,20.7
11:50:17,303.87097,32.8,20.7
11:50:18,304.12308,32.8,20.7
11:50:18,304.3479,32.8,20.7
11:50:18,304.63675,32.8,20.7
11:50:18,304.87366,32.7,20.7
11:50:18,305.23572,32.7,20.7
11:50:18,305.5662,32.7,20.7
11:50:19,305.84882,32.7,20.7
11:50:19,306.12027,32.8,20.7
11:50:19,306.39438,32.8,20.7
11:50:19,306.74872,32.8,20.7
11:50:19,307.0232,32.8,20.7
11:50:19,307.30927,32.8,20.7
11:50:19,307.61627,32.8,20.7
11:50:20,307.8177,32.7,20.7
11:50:20,308.03323,32.7,20.7
11:50:20,308.2809,32.8,20.7
11:50:20,308.5589,32.8,20.7
11:50:20,308.81818,32.8,20.7
11:50:20,309.05966,32.8,20.7
11:50:21,309.28036,32.8,20.7
11:50:21,309.6004,32.8,20.7
11:50:21,309.78452,32.7,20.7
11:50:21,310.09085,32.7,20.7
11:50:21,310.24738,32.8,20.7
11:50:21,310.4552,32.8,20.7
11:50:21,310.70895,32.7,20.7
11:50:22,310.8614,32.7,20.7
11:50:22,311.06448,32.7,20.7
11:50:22,311.2932,32.7,20.7
11:50:22,311.5775,32.7,20.7
11:50:22,311.71866,32.7,20.7
11:50:22,311.94778,32.7,20.7
11:50:23,312.09833,32.7,20.7
11:50:23,312.3227,32.8,20.7
11:50:23,312.51038,32.8,20.7
11:50:23,312.66568,32.8,20.7
11:50:23,312.8466,32.8,20.7
11:50:23,313.0043,32.7,20.7
11:50:23,313.12256,32.7,20.7
11:50:24,313.25723,32.7,20.7
11:50:24,313.33386,32.7,20.7
11:50:24,313.42242,32.7,20.7
11:50:24,313.56885,32.7,20.7
11:50:24,313.57578,32.8,20.7
11:50:24,313.7568,32.8,20.7
11:50:25,313.8915,32.7,20.7
11:50:25,314.0263,32.7,20.7
11:50:25,314.13324,32.8,20.7
11:50:25,314.21506,32.8,20.7
11:50:25,314.30804,32.7,20.7
11:50:25,314.39648,32.7,20.7
11:50:25,314.44302,32.7,20.7
11:50:26,314.48477,32.7,20.7
11:50:26,314.42908,32.8,20.7
11:50:26,314.39417,32.8,20.7
11:50:26,314.3872,32.8,20.7
11:50:26,314.39648,32.8,20.7
11:50:26,314.5106,32.8,20.7
11:50:27,314.55,32.8,20.7
11:50:27,314.60352,32.8,20.7
11:50:27,314.71097,32.8,20.7
11:50:27,314.83664,32.8,20.7
11:50:27,314.88553,32.8,20.7
11:50:27,314.9881,32.7,20.7
11:50:27,315.0489,32.7,20.7
11:50:28,315.14905,32.7,20.7
11:50:28,315.1701,32.7,20.7
11:50:28,315.22586,32.8,20.7
11:50:28,315.29578,32.8,20.7
11:50:28,315.36832,32.8,20.7
11:50:28,315.40552,32.8,20.7
11:50:29,315.56644,32.7,20.7
11:50:29,315.68335,32.7,20.7
11:50:29,315.73468,32.7,20.7
11:50:29,315.88196,32.7,20.7
11:50:29,315.89825,32.8,20.7
11:50:29,315.96362,32.8,20.7
11:50:29,315.94736,32.8,20.7
11:50:30,316.0779,32.8,20.7
11:50:30,316.14594,32.8,20.7
11:50:30,316.3093,32.8,20.7
11:50:30,316.34714,32.7,20.7
11:50:30,316.4101,32.7,20.7
11:50:30,316.44043,32.8,20.7
11:50:31,316.45444,32.8,20.7
11:50:31,316.45212,32.8,20.7
11:50:31,316.49646,32.8,20.7
11:50:31,316.56915,32.8,20.7
11:50:31,316.57852,32.8,20.7
11:50:31,316.61826,32.8,20.7
11:50:32,316.72574,32.8,20.7
11:50:32,316.75174,32.7,20.7
11:50:32,316.80795,32.7,20.7
11:50:32,316.93872,32.8,20.7
11:50:32,317.01398,32.8,20.7
11:50:32,317.12137,32.8,20.7
11:50:32,317.22464,32.8,20.7
11:50:33,317.241,32.8,20.7
11:50:33,317.3489,32.8,20.7
11:50:33,317.44238,32.8,20.7
11:50:33,317.40042,32.8,20.7
11:50:33,317.40265,32.8,20.7
11:50:33,317.3465,32.8,20.7
11:50:34,317.22925,32.8,20.7
11:50:34,317.12137,32.8,20.7
11:50:34,317.0955,32.8,20.7
11:50:34,317.20117,32.8,20.7
11:50:34,317.24332,32.8,20.7
11:50:34,317.28537,32.8,20.7
11:50:34,317.4448,32.8,20.7
11:50:35,317.4401,32.8,20.7
11:50:35,317.4662,32.8,20.7
11:50:35,317.4471,32.8,20.7
11:50:35,317.47324,32.8,20.7
11:50:35,317.57852,32.8,20.7
11:50:35,317.67245,32.8,20.7
11:50:36,317.73096,32.8,20.7
11:50:36,317.7613,32.8,20.7
11:50:36,317.87643,32.8,20.7
11:50:36,317.81558,32.8,20.7
11:50:36,317.82263,32.8,20.7
11:50:36,317.88107,32.8,20.7
11:50:36,317.82263,32.8,20.7
11:50:37,317.7969,32.8,20.7
11:50:37,317.68884,32.8,20.7
11:50:37,317.642,32.8,20.7
11:50:37,317.58542,32.8,20.7
11:50:37,317.4635,32.8,20.7
11:50:37,317.43774,32.8,20.7
11:50:38,317.37473,32.8,20.7
11:50:38,317.27603,32.8,20.7
11:50:38,317.16858,32.8,20.7
11:50:38,317.11435,32.8,20.7
11:50:38,317.05118,32.8,20.7
11:50:38,316.94598,32.8,20.7
11:50:38,316.74954,32.8,20.7
11:50:39,316.64148,32.8,20.7
11:50:39,316.44745,32.8,20.7
11:50:39,316.20435,32.8,20.7
11:50:39,316.0079,32.8,20.7
11:50:39,315.75568,32.8,20.7
11:50:39,315.6554,32.8,20.7
11:50:40,315.54785,32.8,20.7
11:50:40,315.4009,32.8,20.7
11:50:40,315.2934,32.8,20.7
11:50:40,315.20493,32.8,20.7
11:50:40,315.19324,32.8,20.7
11:50:40,315.10013,32.8,20.7
11:50:40,315.00424,32.8,20.7
11:50:41,314.88553,32.8,20.7
11:50:41,314.66913,32.8,20.7
11:50:41,314.5268,32.8,20.7
11:50:41,314.4455,32.8,20.7
11:50:41,314.41278,32.8,20.7
11:50:41,314.38483,32.8,20.7
11:50:42,314.25006,32.8,20.7
11:50:42,314.11713,32.8,20.7
11:50:42,313.96375,32.8,20.7
11:50:42,313.85907,32.8,20.7
11:50:42,313.7824,32.8,20.7
11:50:42,313.73825,32.8,20.7
11:50:42,313.64307,32.8,20.7
11:50:43,313.52002,32.8,20.7
11:50:43,313.27588,32.8,20.7
11:50:43,313.06223,32.8,20.7
11:50:43,312.8836,32.8,20.7
11:50:43,312.74683,32.8,20.7
11:50:43,312.57993,32.8,20.7
11:50:44,312.45016,32.8,20.7
11:50:44,312.23926,32.8,20.7
11:50:44,312.05902,32.8,20.7
11:50:44,311.72092,32.8,20.8
11:50:44,311.58444,32.8,20.8
11:50:44,311.35577,32.8,20.7
11:50:44,311.1523,32.8,20.7
11:50:45,310.903,32.8,20.7
11:50:45,310.71118,32.8,20.7
11:50:45,310.51294,32.8,20.7
11:50:45,310.29352,32.8,20.7
11:50:45,310.12323,32.8,20.7
11:50:45,309.84894,32.8,20.7
11:50:46,309.64655,32.8,20.7
11:50:46,309.48273,32.8,20.7
11:50:46,309.2872,32.8,20.7
11:50:46,309.0435,32.8,20.7
11:50:46,308.80243,32.8,20.7
11:50:46,308.55655,32.8,20.7
11:50:46,308.39825,32.8,20.7
11:50:47,308.10458,32.8,20.7
11:50:47,307.93253,32.8,20.7
11:50:47,307.7974,32.8,20.7
11:50:47,307.64618,32.8,20.7
11:50:47,307.5427,32.8,20.7
11:50:47,307.44675,32.8,20.7
11:50:48,307.21567,32.8,20.7
11:50:48,307.11005,32.8,20.7
11:50:48,306.94556,32.8,20.7
11:50:48,306.77386,32.8,20.7
11:50:48,306.64346,32.8,20.7
11:50:48,306.46274,32.8,20.7
11:50:48,306.35083,32.8,20.7
11:50:49,306.2596,32.8,20.7
11:50:49,305.94467,32.8,20.7
11:50:49,305.80313,32.8,20.7
11:50:49,305.5364,32.8,20.7
11:50:49,305.28323,32.8,20.7
11:50:49,305.1285,32.8,20.7
11:50:50,304.94177,32.8,20.8
11:50:50,304.75528,32.8,20.8
11:50:50,304.46854,32.8,20.8
11:50:50,304.30948,32.8,20.8
11:50:50,304.1523,32.8,20.8
11:50:50,303.88913,32.8,20.8
11:50:51,303.71884,32.8,20.7
11:50:51,303.55554,32.8,20.7
11:50:51,303.29,32.9,20.7
11:50:51,302.9908,32.9,20.7
11:50:51,302.77798,32.9,20.7
11:50:51,302.51743,32.9,20.7
11:50:51,302.3296,32.8,20.7
11:50:52,302.02866,32.8,20.7
11:50:52,301.83893,32.8,20.7
